"","SD"
"merge.rmdup.B1190023.1",0.266924692744938
"merge.rmdup.B1190079.1",0.227231143092059
"merge.rmdup.B1190189.2",0.261896924090337
"merge.rmdup.B1190302.1",0.279168719905947
"merge.rmdup.B1190315.2",0.243857434900088
"merge.rmdup.B1190356.1",0.240623708954633
"merge.rmdup.B1190361.1",0.288912451261302
"merge.rmdup.B1190400.1",0.282075599586681
"merge.rmdup.B1190429.1",0.249075449794225
"merge.rmdup.B1190468.1",0.350232048112167
"merge.rmdup.B1190484.1",0.264280065147358
"merge.rmdup.B1190522.1",0.259184975822336
"merge.rmdup.B1190563.1",0.239991360520705
"merge.rmdup.B1190598.1",0.315116263730313
"merge.rmdup.B1190653.1",0.260186416688779
"merge.rmdup.B1190729.1",0.246323400519257
"merge.rmdup.B1190806.1",0.267949509263679
"merge.rmdup.WATDE0001",0.266287734129821
"merge.rmdup.WATDE0002",0.271561180508123
"merge.rmdup.WATDE0004",0.255576809249043
"merge.rmdup.WATDE0005",0.262311105732812
"merge.rmdup.WATDE0006",0.256576473020253
"merge.rmdup.WATDE0007",0.242682708218191
"merge.rmdup.WATDE0008",0.252444728803989
"merge.rmdup.WATDE0009",0.752911416731647
"merge.rmdup.WATDE0011",0.246074769963038
"merge.rmdup.WATDE0012",0.267492203152271
"merge.rmdup.WATDE0013",0.254149232678387
"merge.rmdup.WATDE0014",0.253332649612182
"merge.rmdup.WATDE0015",0.248589999530738
"merge.rmdup.WATDE0016",0.270215738090811
"merge.rmdup.WATDE0017",0.258723322433535
"merge.rmdup.WATDE0018",0.260032568057944
"merge.rmdup.WATDE0019",0.241680846686531
"merge.rmdup.WATDE0020",0.27787548828669
"merge.rmdup.WATDE0021",0.254926806855991
"merge.rmdup.WATDE0022",0.259575816180053
"merge.rmdup.WATDE0023",0.280829541941407
"merge.rmdup.WATDE0024",0.258902681693552
"merge.rmdup.WATDE0025",0.266066481321772
"merge.rmdup.WATDE0026",0.282658600062598
"merge.rmdup.WATDE0027",0.26181772859284
"merge.rmdup.WATDE0028",0.287636880323727
"merge.rmdup.WATDE0029",0.232163652327405
"merge.rmdup.WATDE0030",0.252336410957607
"merge.rmdup.WATDE0031",0.275323521567679
"merge.rmdup.WATDE0032",0.247728764399311
"merge.rmdup.WATDE0033",0.271187641149702
"merge.rmdup.WATDE0034",0.261380592915788
"merge.rmdup.WATDE0035",0.273168691390987
"merge.rmdup.WATDE0036",0.288169537979544
"merge.rmdup.WATDE0037",0.274571496139944
"merge.rmdup.WATDE0038",0.268593915806983
"merge.rmdup.WATDE0039",1.07930039334077
"merge.rmdup.WATDE0040",0.273882054516969
"merge.rmdup.WATDE0041",0.235537168643702
"merge.rmdup.WATDE0042",0.283495199858332
"merge.rmdup.WATDE0043",0.324335873024719
"merge.rmdup.WATDE0044",0.31232286839376
"merge.rmdup.WATDE0045",0.306058414978861
"merge.rmdup.WATDE0046",0.270397772154763
"merge.rmdup.WATDE0047",0.272418115890709
"merge.rmdup.WATDE0048",0.262388834669734
"merge.rmdup.WATDE0049",0.249302594995211
"merge.rmdup.WATDE0050",0.240448948104766
"merge.rmdup.WATDE0051",0.268682296092505
"merge.rmdup.WATDE0052",0.276101010456051
"merge.rmdup.WATDE0053",0.281120488827901
"merge.rmdup.WATDE0054",0.269439190897604
"merge.rmdup.WATDE0055",0.252064765323975
"merge.rmdup.WATDE0056",0.513475332277701
"merge.rmdup.WATDE0057",0.391333428152292
"merge.rmdup.WATDE0058",0.22662235152736
"merge.rmdup.WATDE0059",0.303315689829804
"merge.rmdup.WATDE0060",0.517337676482585
"merge.rmdup.WATDE0062",0.352718701670557
"merge.rmdup.WATDE0063",0.280292774998636
"merge.rmdup.WATDE0064",0.240622409080146
"merge.rmdup.WATDE0065",0.354156178486173
"merge.rmdup.WATDE0066",0.232661285238825
"merge.rmdup.WATDE0067",0.2481670814998
"merge.rmdup.WATDE0068",0.267403149683989
"merge.rmdup.WATDE0069",0.284377029344628
"merge.rmdup.WATDE0070",0.249558350352116
"merge.rmdup.WATDE0071",0.281126556195027
"merge.rmdup.WATDE0072",0.346888465347784
"merge.rmdup.WATDE0073",0.262904864298961
"merge.rmdup.WATDE0074",0.261121739445441
"merge.rmdup.WATDE0075",0.263414233473016
"merge.rmdup.WATDE0076",0.270273922546425
"merge.rmdup.WATDE0077",0.2653210681501
"merge.rmdup.WATDE0078",0.260011729491137
"merge.rmdup.WATDE0079",0.311174827114467
"merge.rmdup.WATDE0080",0.28229011436149
"merge.rmdup.WATDE0081",0.267688778520321
"merge.rmdup.WATDE0082",0.273900955483791
"merge.rmdup.WATDE0083",0.248079334716841
"merge.rmdup.WATDE0084",0.296026843476348
"merge.rmdup.WATDE0085",0.270113718549998
"merge.rmdup.WATDE0086",0.24528530907312
"merge.rmdup.WATDE0087",0.258968241369483
"merge.rmdup.WATDE0088",0.271874042360558
"merge.rmdup.WATDE0089",0.241535590253279
"merge.rmdup.WATDE0090",0.495635175192252
"merge.rmdup.WATDE0091",0.221197954698737
"merge.rmdup.WATDE0092",0.228016893450948
"merge.rmdup.WATDE0093",0.26982262538968
"merge.rmdup.WATDE0094",0.294767450517041
