UK recommended list 18-19,Scope,,UK (11.0 t/ha),East region (10.9 t/ha),West region (11.3 t/ha),North region (10.7 t/ha)
KWS Zyatt,UK,,101.8,101.6282473472,102.5504782147,100.0559492727
Skyfall,UK,C,99.9,99.7987559458,100.2479631598,99.7762029094
KWS Trinity,UK,,99,99.3413830955,98.2111229189,99.2167101828
RGT Illustrious,UK,,98,98.1522136846,98.7424725469,94.4610220067
Crusoe,UK,C,97.2,97.2374679839,98.0340063762,94.2745244312
KWS Siskin,UK,,102.7,103.0003658983,102.9932695714,100.1491980604
KWS Lili,UK,,101.6,101.5367727772,101.2221041445,103.4129056322
Cordiale,UK,*,96,96.5056714233,95.2001416932,95.3935098844
KWS Barrel,UK,,102.5,102.3600439078,101.3992206872,107.3293547184
Elicit,UK,NEW,102.5,102.9088913282,101.4877789586,[104]
Spyder,E&W,,100.1,100.1646542261,100.8678710592,96.325997762
KWS Basset,UK,,99.9,100.3476033663,99.008147361,99.3099589705
Zulu,UK,C,98.9,98.8840102452,98.1225646475,101.5479298769
KWS Jackal,N,NEW,103.9,104.4639590194,102.4619199433,[105]
Elation,UK,NEW,103.8,104.4639590194,102.9932695714,[103]
Bennington,E&W,,103,103.5492133187,102.9047113,99.7762029094
LG Sundance,UK,,102.1,102.1770947677,101.9305703153,102.4804177546
Hardwicke,N,,101.9,102.0856201976,101.2221041445,102.9466616934
Savello,N,,101.7,102.1770947677,100.1594048884,104.2521447221
LG Motown,UK,,101.6,101.8111964874,100.8678710592,102.4804177546
Moulton,UK,,101.2,101.1708744969,101.4877789586,100.8019395748
Leeds,UK,,100.7,100.9879253568,99.539496989,102.4804177546
Myriad,N,,99,99.3413830955,97.8568898335,101.1749347258
Revelation,UK,,98.4,98.9754848152,97.3255402055,98.6572174562
Viscount,N,,98,97.9692645445,97.2369819341,101.1749347258
RGT Gravity,UK,NEW,106.4,106.3849249909,106.1813673397,[108]
Gleam,UK,NEW,105,105.5616538602,103.7902940135,[105]
KWS Kerrin,E&W,,104.7,104.7383827296,103.8788522848,106.8631107796
Shabras,UK,,104.1,103.8236370289,104.4102019129,105.1846325998
KWS Silverstone,UK,*,103.5,103.8236370289,102.7275947574,104.3453935099
KWS Santiago,E&W,*C,103.4,103.8236370289,102.2848034006,103.6926519955
Graham,UK,,103.2,102.3600439078,105.6500177117,101.0816859381
KWS Crispin,UK,,102.3,102.7259421881,102.639036486,98.3774710929
Dickens,UK,*,102.1,101.9026710574,102.1962451293,103.3196568445
Evolution,UK,,102.1,102.7259421881,100.4250797024,104.0656471466
Freiston,UK,,102.1,101.6282473472,103.0818278427,102.6669153301
Reflection,UK,*,101.8,101.5367727772,102.373361672,101.8276762402
Dunston,UK,,101.8,102.1770947677,100.6907545165,103.3196568445
Costello,UK,,101,100.7135016465,101.8420120439,100.2424468482
JB Diego,UK,C,100.6,100.2561287962,101.3106624159,100.708690787
Grafton,UK,*,99,99.4328576656,97.5912150195,[[101]]
